commodity_code,commodity_description,duty_expression,standardised_commodity_code
2917198090,"Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Acyclic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Other
-	-	-	Other
-	-	-	-	Other
				-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
				-	for fitting to or equipping such ships, boats or other vessels;
				-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
				-	for equipping the above platforms;
				-	for linking these drilling or production platforms to the mainland",0.0%,2917198090
2917200000,"Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives
	-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
	-	for fitting to or equipping such ships, boats or other vessels;
	-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
	-	for equipping the above platforms;
	-	for linking these drilling or production platforms to the mainland",0.0%,2917200000
2917320000,"Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Dioctyl orthophthalates
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2917320000
2917330000,"Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Dinonyl or didecyl orthophthalates
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2917330000
2917340000,"Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Other esters of orthophthalic acid
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2917340000
2917350000,"Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Phthalic anhydride
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2917350000
2917360000,"Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Terephthalic acid and its salts
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2917360000
2917370000,"Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Dimethyl terephthalate
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2917370000
2917390000,"Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Other
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2917390000
2918110000,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Lactic acid, its salts and esters
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2918110000
2918120000,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Tartaric acid
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2918120000
2918130000,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Salts and esters of tartaric acid
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2918130000
2918140000,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Citric acid
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2918140000
2918150000,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Salts and esters of citric acid
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2918150000
2918160010,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Gluconic acid, its salts and esters
-	-	-	Dry sodium gluconate with a Customs Union and Statistics (CUS) number 0023277-9 and a Chemical Abstracts Service (CAS) registry number 527-07-1
			-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
			-	for fitting to or equipping such ships, boats or other vessels;
			-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
			-	for equipping the above platforms;
			-	for linking these drilling or production platforms to the mainland",0.0%,2918160010
2918160090,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Gluconic acid, its salts and esters
-	-	-	Other
			-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
			-	for fitting to or equipping such ships, boats or other vessels;
			-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
			-	for equipping the above platforms;
			-	for linking these drilling or production platforms to the mainland",0.0%,2918160090
2918170000,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	2,2-Diphenyl-2-hydroxyacetic acid (benzilic acid)
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2918170000
2918180000,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Chlorobenzilate (ISO)
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2918180000
2918190000,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Other
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2918190000
2918210000,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with phenol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Salicylic acid and its salts
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2918210000
2918220000,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with phenol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	o-Acetylsalicylic acid, its salts and esters
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2918220000
2918230000,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with phenol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Other esters of salicylic acid and their salts
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2918230000
2918290010,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with phenol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Other
-	-	-	Sulphosalicylic acids, hydroxynaphthoic acids; their salts and esters
-	-	-	-	Monohydroxynaphthoic acids
				-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
				-	for fitting to or equipping such ships, boats or other vessels;
				-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
				-	for equipping the above platforms;
				-	for linking these drilling or production platforms to the mainland",0.0%,2918290010
2918290019,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with phenol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Other
-	-	-	Sulphosalicylic acids, hydroxynaphthoic acids; their salts and esters
-	-	-	-	Other
				-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
				-	for fitting to or equipping such ships, boats or other vessels;
				-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
				-	for equipping the above platforms;
				-	for linking these drilling or production platforms to the mainland",0.0%,2918290019
2918290035,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with phenol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Other
-	-	-	Propyl 3,4,5-trihydroxybenzoate (CAS RN 121-79-9)
			-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
			-	for fitting to or equipping such ships, boats or other vessels;
			-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
			-	for equipping the above platforms;
			-	for linking these drilling or production platforms to the mainland",0.0%,2918290035
2918290050,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with phenol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Other
-	-	-	Hexamethylene bis[3-(3,5-di-_tert_-butyl-4-hydroxyphenyl)propionate] (CAS RN 35074-77-2)
			-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
			-	for fitting to or equipping such ships, boats or other vessels;
			-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
			-	for equipping the above platforms;
			-	for linking these drilling or production platforms to the mainland",0.0%,2918290050
2918290060,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with phenol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Other
-	-	-	Methyl-, ethyl-, propyl- or butyl esters of 4-hydroxybenzoic acid or their sodium salts (CAS RN 35285-68-8, 99-76-3, 5026-62-0, 94-26-8, 94-13-3, 35285-69-9, 120-47-8, 36457-20-2 or 4247-02-3)
			-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
			-	for fitting to or equipping such ships, boats or other vessels;
			-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
			-	for equipping the above platforms;
			-	for linking these drilling or production platforms to the mainland",0.0%,2918290060
2918290070,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with phenol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Other
-	-	-	3,5-Diiodosalicylic acid (CAS RN 133-91-5)
			-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
			-	for fitting to or equipping such ships, boats or other vessels;
			-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
			-	for equipping the above platforms;
			-	for linking these drilling or production platforms to the mainland",0.0%,2918290070
2918290090,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with phenol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
-	-	Other
-	-	-	Other
			-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
			-	for fitting to or equipping such ships, boats or other vessels;
			-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
			-	for equipping the above platforms;
			-	for linking these drilling or production platforms to the mainland",0.0%,2918290090
2918300000,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Carboxylic acids with aldehyde or ketone function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives
	-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
	-	for fitting to or equipping such ships, boats or other vessels;
	-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
	-	for equipping the above platforms;
	-	for linking these drilling or production platforms to the mainland",0.0%,2918300000
2918910000,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Other
-	-	2,4,5-T (ISO) (2,4,5-trichlorophenoxyacetic acid), its salts and esters
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2918910000
2918990000,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	Other
-	-	Other
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2918990000
2919000000,"Phosphoric esters and their salts, including lactophosphates; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2919000000
2920000000,"Esters of other inorganic acids of non-metals (excluding esters of hydrogen halides) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2920000000
2921000000,"Amine-function compounds
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2921000000
2921420061,"Amine-function compounds
Aromatic monoamines and their derivatives; salts thereof
Aniline derivatives and their salts
Potassium sulphanilate, calcium sulphanilate
• for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
• for fitting to or equipping such ships, boats or other vessels;
• for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below:
   fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
• for equipping the above platforms;
• for linking these drilling or production platforms to the mainland",0.0%,2921420061
2922110000,"Oxygen-function amino-compounds
-	Amino-alcohols, other than those containing more than one kind of oxygen function, their ethers and esters; salts thereof
-	-	Monoethanolamine and its salts
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2922110000
2922120000,"Oxygen-function amino-compounds
-	Amino-alcohols, other than those containing more than one kind of oxygen function, their ethers and esters; salts thereof
-	-	Diethanolamine and its salts
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2922120000
2922140000,"Oxygen-function amino-compounds
-	Amino-alcohols, other than those containing more than one kind of oxygen function, their ethers and esters; salts thereof
-	-	Dextropropoxyphene (INN) and its salts
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2922140000
2922150000,"Oxygen-function amino-compounds
-	Amino-alcohols, other than those containing more than one kind of oxygen function, their ethers and esters; salts thereof
-	-	Triethanolamine
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2922150000
2922160000,"Oxygen-function amino-compounds
-	Amino-alcohols, other than those containing more than one kind of oxygen function, their ethers and esters; salts thereof
-	-	Diethanolammonium perfluorooctane sulphonate
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2922160000
2922170000,"Oxygen-function amino-compounds
-	Amino-alcohols, other than those containing more than one kind of oxygen function, their ethers and esters; salts thereof
-	-	Methyldiethanolamine and ethyldiethanolamine
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2922170000
